"Group ID","Name","Easting","Northing","Date of Last Change","Date of Issue","Issue Version"
"G35","Maidstone",575750,155750,"05/02/2007 08:41:53","25/05/2010","386"
"G350","Herne Bay",617130,167450,"09/02/2007 07:22:56","25/05/2010","386"
"G351","Hessle",502450,426131,"09/02/2007 07:22:56","25/05/2010","386"
"G352","Heworth",428550,561970,"23/02/2007 07:52:35","25/05/2010","386"
"G353","High Wycombe",486601,192816,"09/02/2007 07:22:56","25/05/2010","386"
"G354","Highbridge",331900,147167,"23/02/2007 07:52:35","25/05/2010","386"
"G355","Hilsea",465856,103825,"09/02/2007 07:22:56","25/05/2010","386"
"G357","Horsham",517865,130980,"23/02/2007 07:52:35","25/05/2010","386"
"G358","Hove",528751,105101,"09/02/2007 07:22:56","25/05/2010","386"
"G359","Huntingdon",523638,271782,"09/02/2007 07:22:56","25/05/2010","386"
"G36","Tilbury",563600,176400,"05/02/2007 08:41:53","25/05/2010","386"
"G361","Invergordon",270764,868594,"09/02/2007 07:22:56","25/05/2010","386"
"G362","Ivybridge",264358,56278,"09/02/2007 07:22:56","25/05/2010","386"
"G363","Johnston (Pembrokeshire)",193300,210700,"09/02/2007 07:22:56","25/05/2010","386"
"G364","Keighley",406438,441252,"09/02/2007 07:22:56","25/05/2010","386"
"G365","Kendal",351878,492998,"09/02/2007 07:22:56","25/05/2010","386"
"G366","Kidwelly",240799,206699,"09/02/2007 07:22:56","25/05/2010","386"
"G367","Kilgetty",212600,207200,"09/02/2007 07:22:56","25/05/2010","386"
"G368","Kings Lynn",562306,320061,"09/02/2007 07:22:56","25/05/2010","386"
"G369","Kingussie ",275700,800400,"09/02/2007 07:22:56","25/05/2010","386"
"G37","Yeovil",357000,115190,"05/02/2007 08:41:53","25/05/2010","386"
"G370","Kirby Cross",621830,220761,"09/02/2007 07:22:56","25/05/2010","386"
"G371","Knaresborough",435003,457095,"09/02/2007 07:22:56","25/05/2010","386"
"G372","Kyle of Lochalsh",176247,827123,"09/02/2007 07:22:56","25/05/2010","386"
"G373","Lancing",518218,104105,"09/02/2007 07:22:56","25/05/2010","386"
"G374","Ledbury",370912,238193,"09/02/2007 07:22:56","25/05/2010","386"
"G375","Lelant",154770,37220,"09/02/2007 07:22:56","25/05/2010","386"
"G376","Lichfield",411900,309200,"09/02/2007 07:22:56","25/05/2010","386"
"G377","Liphook",484113,131257,"09/02/2007 07:22:56","25/05/2010","386"
"G378","Liskeard",225037,64205,"09/02/2007 07:22:56","25/05/2010","386"
"G379","Littlehampton",502540,102180,"09/02/2007 07:22:56","25/05/2010","386"
"G38","Heathrow 123",507900,175200,"07/03/2008 16:18:55","25/05/2010","386"
"G380","Llandudno Junction",279488,377857,"09/02/2007 07:22:56","25/05/2010","386"
"G381","Llandudno",278794,382100,"09/02/2007 07:22:56","25/05/2010","386"
"G382","Llanelli",250650,199445,"09/02/2007 07:22:56","25/05/2010","386"
"G383","Lockerbie",313780,581800,"09/02/2007 07:22:56","25/05/2010","386"
"G384","Lostwithiel",210440,59743,"09/02/2007 07:22:56","25/05/2010","386"
"G385","Loughborough",453913,320137,"23/02/2007 07:52:35","25/05/2010","386"
"G386","Lowestoft",654650,293062,"09/02/2007 07:22:56","25/05/2010","386"
"G387","Lymington",432383,95488,"09/02/2007 07:22:56","25/05/2010","386"
"G388","Lytham",336530,427220,"09/02/2007 07:22:56","25/05/2010","386"
"G389","Maghull",337448,402260,"09/02/2007 07:22:56","25/05/2010","386"
"G39","Aberdeen",394165,805905,"28/08/2009 16:37:52","25/05/2010","386"
"G390","Malvern Link",378431,247627,"09/02/2007 07:22:56","25/05/2010","386"
"G391","Mansfield",453698,361029,"23/02/2007 07:52:35","25/05/2010","386"
"G392","March",541889,297347,"09/02/2007 07:22:56","25/05/2010","386"
"G393","Margate",635185,170771,"09/02/2007 07:22:56","25/05/2010","386"
"G394","Market Harborough",473790,287249,"09/02/2007 07:22:56","25/05/2010","386"
"G395","Maryport",303800,536200,"09/02/2007 07:22:56","25/05/2010","386"
"G396","Matlock Bath",429412,358338,"09/02/2007 07:22:56","25/05/2010","386"
"G397","Matlock",429600,360200,"09/02/2007 07:22:56","25/05/2010","386"
"G398","Melksham",390277,164203,"09/02/2007 07:22:56","25/05/2010","386"
"G399","Merthyr Tydfil",305008,205996,"09/02/2007 07:22:56","25/05/2010","386"
"G4","Bradford",416500,433000,"23/02/2007 07:52:35","25/05/2010","386"
"G40","Barnsley",434734,406487,"24/03/2009 09:25:58","25/05/2010","386"
"G400","Milford Haven",190067,205923,"09/02/2007 07:22:56","25/05/2010","386"
"G401","Mirfield",420346,419761,"09/02/2007 07:22:56","25/05/2010","386"
"G402","Montrose",371200,758000,"13/02/2007 16:58:06","25/05/2010","386"
"G403","Morecambe",343167,464173,"09/02/2007 07:22:56","25/05/2010","386"
"G404","Moreton-in-Marsh",420626,232425,"09/02/2007 07:22:56","25/05/2010","386"
"G405","Morpeth",420089,585716,"09/02/2007 07:22:56","25/05/2010","386"
"G406","Motherwell ",275054,657175,"09/02/2007 07:22:56","25/05/2010","386"
"G407","Nantwich",365434,352194,"09/02/2007 07:22:56","25/05/2010","386"
"G408","Neath",275100,197500,"09/02/2007 07:22:56","25/05/2010","386"
"G409","Nelson",386030,437660,"23/02/2007 07:52:35","25/05/2010","386"
"G41","Basingstoke",463800,152500,"05/02/2007 08:41:53","25/05/2010","386"
"G410","New Milton",424234,95184,"09/02/2007 07:22:56","25/05/2010","386"
"G411","Newbury",447205,166730,"23/02/2007 07:52:35","25/05/2010","386"
"G412","Newhaven",544756,101512,"23/02/2007 07:52:35","25/05/2010","386"
"G414","Newton Abbot",286752,71200,"09/02/2007 07:22:56","25/05/2010","386"
"G415","Newtonmore",271367,798617,"09/02/2007 07:22:56","25/05/2010","386"
"G416","Newtown (Powys)",310849,291438,"09/02/2007 07:22:56","25/05/2010","386"
"G417","Nuneaton",436533,292000,"09/02/2007 07:22:56","25/05/2010","386"
"G418","Oban",185795,729888,"09/02/2007 07:22:56","25/05/2010","386"
"G419","Oldham",392822,405083,"23/02/2007 07:52:35","25/05/2010","386"
"G42","Bath Spa",375300,164400,"15/08/2003 13:20:00","25/05/2010","386"
"G420","Ormskirk",341700,408400,"09/02/2007 07:22:56","25/05/2010","386"
"G421","Oulton Broad",652105,292726,"09/02/2007 07:22:56","25/05/2010","386"
"G422","Paisley",248304,664230,"09/02/2007 07:22:56","25/05/2010","386"
"G423","Penkridge",392168,314089,"09/02/2007 07:22:56","25/05/2010","386"
"G424","Penrith",351200,529900,"09/02/2007 07:22:56","25/05/2010","386"
"G425","Pershore",395200,248000,"09/02/2007 07:22:56","25/05/2010","386"
"G426","Petersfield",474573,123389,"09/02/2007 07:22:56","25/05/2010","386"
"G427","Pevensey Bay ",565544,104434,"09/02/2007 07:22:56","25/05/2010","386"
"G428","Pitlochry",293830,758100,"09/02/2007 07:22:56","25/05/2010","386"
"G429","Pitsea",573796,187840,"09/02/2007 07:22:56","25/05/2010","386"
"G43","Berwick-Upon-Tweed",399400,653500,"15/08/2003 13:20:00","25/05/2010","386"
"G430","Polegate",558124,104687,"09/02/2007 07:22:56","25/05/2010","386"
"G431","Pontypool",329474,199931,"09/02/2007 07:22:56","25/05/2010","386"
"G432","Pontypridd ",307171,190223,"09/02/2007 07:22:56","25/05/2010","386"
"G433","Poole",401448,91100,"09/02/2007 07:22:56","25/05/2010","386"
"G434","Port Talbot ",276557,189878,"09/02/2007 07:22:56","25/05/2010","386"
"G435","Portslade",526338,105268,"09/02/2007 07:22:56","25/05/2010","386"
"G436","Redruth",170040,42009,"09/02/2007 07:22:56","25/05/2010","386"
"G437","Retford ",470716,380703,"09/02/2007 07:22:56","25/05/2010","386"
"G438","Rochdale",389910,413208,"07/10/2008 08:59:35","25/05/2010","386"
"G439","Romford",551556,188863,"23/02/2007 07:52:35","25/05/2010","386"
"G44","Birkenhead",331050,389400,"05/02/2007 08:41:53","25/05/2010","386"
"G440","Rotherham",442590,393020,"09/02/2007 07:22:56","25/05/2010","386"
