"NaPTAN","Name","Easting","Northing","Date of Issue","Issue Version","Group ID"
"9300PWY","Papa Westray Orkney Ferry Terminal",349364,1049280,"22/01/2013","1058",
"9300RAA","Raasay Ferry Terminal",154518,836321,"22/01/2013","1058",
"9300RAP","Rapness Orkney Ferry Terminal",351136,1040553,"22/01/2013","1058",
"9300RAY","Rothesay Ferry Terminal",208847,664805,"22/01/2013","1058",
"9300RDM","Reedham Ferry North",640747,301507,"22/01/2013","1058",
"9300RFW","Renfrew Ferry Terminal",251040,668395,"22/01/2013","1058",
"9300RHH","Richmond - Ham House Ferry Landing",517316,173284,"22/01/2013","1058",
"9300RHM","Reedham Ferry South",640782,301437,"22/01/2013","1058",
"9300RHU","Rhubodach Bute Ferry Terminal",202713,674243,"22/01/2013","1058",
"9300RLS","Richmond Landing Stage",517787,174490,"22/01/2013","1058",
